"Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Creative Size","Creative ID","Creatives","Channel Type","Channel Subtype","Media Cost","Third-Party CPM Fee","Third-Party CPC Fee","Impressions","Clicks","Conversions","eCPM","CTR","CVR","eCPC","eCPA","Secondary Conversions","Conversion Revenue","ROAS","eCPE","eCPA (Secondary)"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","600x600","13690513","Aquatique 600x600","Native","Standard","€10,76 ","€0,00 ","€0,00 ","2 954","40","0","€3,64 ","1,35%","0,00%","€0,27 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","800x600","13609552","Dinan 800x600","Native","Standard","€2,63 ","€0,00 ","€0,00 ","715","0","0","€3,68 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","600x600","13609529","Aquatique 600x600","Native","Standard","€4,98 ","€0,00 ","€0,00 ","1 357","14","0","€3,67 ","1,03%","0,00%","€0,36 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","1200x627","13609500","Cap Fréhel - Cap d'Erquy 1200x627 v2","Native","Standard","€10,99 ","€0,00 ","€0,00 ","3 014","8","0","€3,65 ","0,27%","0,00%","€1,37 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","600x600","13690534","Lac de Guerledan 600x600","Native","Standard","€56,52 ","€0,00 ","€0,00 ","15 437","265","0","€3,66 ","1,72%","0,00%","€0,21 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","800x600","13609528","Aquatique 800x600","Native","Standard","€3,60 ","€0,00 ","€0,00 ","977","1","0","€3,69 ","0,10%","0,00%","€3,60 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","1200x627","13609509","Sentier des douaniers 1200x627 v2","Native","Standard","€36,49 ","€0,00 ","€0,00 ","10 056","41","0","€3,63 ","0,41%","0,00%","€0,89 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","300x250","13613980","lac-de-guerledan 300x250","Display","Standard","€12,21 ","€0,00 ","€0,00 ","2 874","5","0","€4,25 ","0,17%","0,00%","€2,44 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","600x600","13690498","L'île de Bréhat 600x600 v2","Native","Standard","€14,73 ","€0,00 ","€0,00 ","4 051","58","0","€3,64 ","1,43%","0,00%","€0,25 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","800x600","13609522","Activités familiales 800x600","Native","Standard","€2,39 ","€0,00 ","€0,00 ","653","1","0","€3,66 ","0,15%","0,00%","€2,39 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
